mode,k,p,rep,recall,latency_us
fastscan,10,40,0,0.51335,1747.26280
fastscan,10,100,0,0.70105,2486.77305
fastscan,10,500,0,0.93200,2546.71900
fastscan,10,1000,0,0.97525,2876.95065
fastscan,10,2000,0,0.99260,2570.71785
fastscan,10,5000,0,0.99870,3374.54900
fastscan,10,10000,0,0.99980,5040.75695
fastscan,10,50000,0,0.99995,11822.98210
fastscan,10,100000,0,0.99995,12003.81595
