variant,repeat,total_ms,per_row_ns
scalar,0,1.2458,12.4580
scalar,1,1.3912,13.9120
scalar,2,1.4514,14.5140
scalar,3,1.3364,13.3640
scalar,4,1.2414,12.4140
gather,0,5.1509,51.5090
gather,1,4.9413,49.4130
gather,2,4.9741,49.7410
gather,3,5.5695,55.6950
gather,4,5.6090,56.0900
shuffle,0,1.3306,13.3060
shuffle,1,1.2175,12.1750
shuffle,2,1.1414,11.4140
shuffle,3,1.2031,12.0310
shuffle,4,1.7998,17.9980
