"file","algorithm","variant","label","strategy","granularity","threads","recall","latency_us","speedup_vs_t1_same_variant","p","nlist","nprobe","ef","rerank_p","mode"
"flat_omp_inter_t4.txt","flat","flat_omp_inter","flat_omp_static_inter","omp","inter","4","0.99995","634.2138","10.6738","","","","","",""
"flat_omp_inter_t8.txt","flat","flat_omp_inter","flat_omp_static_inter","omp","inter","8","0.99995","433.4651","15.6171","","","","","",""
"flat_omp_intra_t1.txt","flat","flat_omp_intra","flat_omp_static_intra","omp","intra","1","0.99995","7969.35575","1","","","","","",""
"flat_omp_intra_t16.txt","flat","flat_omp_intra","flat_omp_static_intra","omp","intra","16","0.99995","1726.08815","4.617","","","","","",""
"flat_omp_intra_t2.txt","flat","flat_omp_intra","flat_omp_static_intra","omp","intra","2","0.99995","3846.18025","2.072","","","","","",""
"flat_omp_intra_t4.txt","flat","flat_omp_intra","flat_omp_static_intra","omp","intra","4","0.99995","2296.6548","3.47","","","","","",""
"flat_omp_intra_t8.txt","flat","flat_omp_intra","flat_omp_static_intra","omp","intra","8","0.99995","2126.45915","3.7477","","","","","",""
"flat_pthread_dynamic_inter_t1.txt","flat","flat_pthread_dynamic_inter","flat_pthread_dynamic_inter","pthread_dynamic","inter","1","0.99995","3312.9628","1","","","","","",""
"flat_pthread_dynamic_inter_t16.txt","flat","flat_pthread_dynamic_inter","flat_pthread_dynamic_inter","pthread_dynamic","inter","16","0.99995","298.95235","11.0819","","","","","",""
"flat_pthread_dynamic_inter_t2.txt","flat","flat_pthread_dynamic_inter","flat_pthread_dynamic_inter","pthread_dynamic","inter","2","0.99995","1407.3312","2.3541","","","","","",""
"flat_pthread_dynamic_inter_t4.txt","flat","flat_pthread_dynamic_inter","flat_pthread_dynamic_inter","pthread_dynamic","inter","4","0.99995","563.02735","5.8842","","","","","",""
"flat_pthread_dynamic_inter_t8.txt","flat","flat_pthread_dynamic_inter","flat_pthread_dynamic_inter","pthread_dynamic","inter","8","0.99995","388.7788","8.5215","","","","","",""
"flat_pthread_dynamic_intra_t1.txt","flat","flat_pthread_dynamic_intra","flat_pthread_dynamic_intra","pthread_dynamic","intra","1","0.99995","4733.49995","1","","","","","",""
"flat_pthread_dynamic_intra_t16.txt","flat","flat_pthread_dynamic_intra","flat_pthread_dynamic_intra","pthread_dynamic","intra","16","0.99995","4582.8268","1.0329","","","","","",""
"flat_pthread_dynamic_intra_t2.txt","flat","flat_pthread_dynamic_intra","flat_pthread_dynamic_intra","pthread_dynamic","intra","2","0.99995","5413.69665","0.8744","","","","","",""
"flat_pthread_dynamic_intra_t4.txt","flat","flat_pthread_dynamic_intra","flat_pthread_dynamic_intra","pthread_dynamic","intra","4","0.99995","5183.34945","0.9132","","","","","",""
"flat_pthread_dynamic_intra_t8.txt","flat","flat_pthread_dynamic_intra","flat_pthread_dynamic_intra","pthread_dynamic","intra","8","0.99995","5088.88535","0.9302","","","","","",""
"flat_pthread_pool_inter_t1.txt","flat","flat_pthread_pool_inter","flat_pthread_pool_inter","pthread_pool","inter","1","0.99995","3188.89825","1","","","","","",""
