mode,k,p,rep,recall,latency_us
fastscan,10,40,0,0.51335,916.77825
fastscan,10,100,0,0.70105,2441.76870
fastscan,10,500,0,0.93200,2457.31435
fastscan,10,1000,0,0.97525,2431.11270
fastscan,10,2000,0,0.99260,2412.95590
fastscan,10,5000,0,0.99870,3004.54675
fastscan,10,10000,0,0.99980,4125.51270
fastscan,10,50000,0,0.99995,11949.38320
fastscan,10,100000,0,0.99995,10571.76380
