tag,mode,k,p,N,rep,recall,latency_us
flat,flat,10,0,100000,0,0.99995,5354.49000
flat,flat,10,0,100000,1,0.99995,9848.52350
flat,flat,10,0,100000,2,0.99995,9525.99050
flat,flat,10,0,100000,3,0.99995,9972.94550
flat,flat,10,0,100000,4,0.99995,9873.28050
