n,matrix_bytes,naive_ms,row_major_ms,row_major_unrolled4_ms,speedup_row_major,speedup_row_major_unrolled4,diff_row_major,diff_row_major_unrolled4
64,32768,0.001816,0.001784,0.001199,1.018407,1.515110,0.000000,0.000000
128,131072,0.012733,0.007509,0.006713,1.695653,1.896631,0.000000,0.000000
256,524288,0.053780,0.027620,0.026267,1.947121,2.047403,0.000000,0.000000
384,1179648,0.123919,0.070150,0.058875,1.766476,2.104794,0.000000,0.000000
512,2097152,0.986070,0.120951,0.108207,8.152645,9.112842,0.000000,0.000000
768,4718592,1.801332,0.269507,0.250062,6.683810,7.203540,0.000000,0.000000
1024,8388608,8.580819,0.531594,0.614811,16.141673,13.956837,0.000000,0.000000
1536,18874368,17.402294,1.544646,1.439448,11.266204,12.089560,0.000000,0.000000
2048,33554432,55.476013,2.761901,2.475906,20.086171,22.406346,0.000000,0.000000
