platform,experiment,case,algorithm,np,nthreads,recall,latency_us,max_local_us,comm_merge_us,rank_min_us,rank_max_us,rank_mean_us,imbalance,comm_mode,thread_requested,thread_provided,base_partition,header,per_rank_us
"Windows MS-MPI","load_balance","contiguous","Block-HNSW","8","2","1.00000","219.80120","216.95125","2.84995","213.48045","216.95125","215.27074","1.00781","blocking","funneled","funneled","contiguous","block_hnsw_mpi_omp_multi_entry, mpi_procs=8, nthreads=2, hnsw_m=16, ef=50, query_n=2000","rank0=214.60070 rank1=214.36235 rank2=214.88790 rank3=214.47565 rank4=213.48045 rank5=216.95125 rank6=216.93665 rank7=216.47095"
"Windows MS-MPI","load_balance","shuffled","Block-HNSW","8","2","1.00000","222.93255","220.35495","2.57760","217.31045","220.35495","219.08181","1.00581","blocking","funneled","funneled","shuffled","block_hnsw_mpi_omp_multi_entry, mpi_procs=8, nthreads=2, hnsw_m=16, ef=50, query_n=2000","rank0=219.62535 rank1=218.00550 rank2=217.31045 rank3=220.28700 rank4=218.75145 rank5=220.35495 rank6=218.29075 rank7=220.02900"
"Windows MS-MPI","thread_level","funneled","IVF-PQ","8","2","0.96515","352.21655","349.14490","3.07165","295.06295","349.14490","329.04417","1.06109","blocking","funneled","funneled","contiguous","ivfpq_local_mpi_omp_inter, mpi_procs=8, nthreads=2, nlist=16, local_nlist=16, nprobe=4, p=1000, query_n=2000, mode=local","rank0=329.66280 rank1=319.95620 rank2=338.71830 rank3=349.14490 rank4=295.06295 rank5=326.73225 rank6=326.68915 rank7=346.38680"
"Windows MS-MPI","thread_level","multiple","IVF-PQ","8","2","0.96515","331.35360","327.46555","3.88805","293.34140","327.46555","309.87548","1.05676","blocking","multiple","multiple","contiguous","ivfpq_local_mpi_omp_inter, mpi_procs=8, nthreads=2, nlist=16, local_nlist=16, nprobe=4, p=1000, query_n=2000, mode=local","rank0=314.36520 rank1=327.46555 rank2=293.34140 rank3=315.40455 rank4=294.66705 rank5=312.83375 rank6=309.95575 rank7=310.97055"
