method,query_n,nlist,nprobe,M,ksub,rerank_p,opq_iter,recall_at_10,recall_at_100,latency_us,wall_latency_us,build_ms,train_ms,rotate_ms,scan_ms,rerank_ms,index_bytes,repeat_count,warmup_n
PQ,2000,0,0,8,256,1000,0,0.98070,0.92202,1854.28580,1909.16755,4281.78610,0.02440,505.09850,3188.89030,519.68130,996608,3,128
PQ,2000,0,0,8,256,1500,0,0.99180,0.95939,2297.71740,2354.51845,4281.78610,0.02440,505.09850,3847.46240,747.97240,996608,3,128
IVF-PQ,2000,16,8,8,256,1000,0,0.97575,0.91615,1287.43725,1344.26790,4582.34430,0.02440,505.09850,2039.09830,535.77620,39802888,3,128
IVF-PQ,2000,16,8,8,256,1500,0,0.98660,0.95228,1589.51415,1648.76190,4582.34430,0.02440,505.09850,2417.02320,762.00510,39802888,3,128
OPQ,2000,0,0,8,256,1000,5,0.98975,0.94653,1700.42670,1751.37940,3901.86880,275.56850,901.23720,2918.79090,482.06250,996608,3,128
OPQ,2000,0,0,8,256,1500,5,0.99545,0.97316,2178.72780,2233.86080,3901.86880,275.56850,901.23720,3645.05790,712.39770,996608,3,128
IVF-OPQ,2000,16,8,8,256,1000,5,0.98460,0.94004,1149.82650,1201.45170,4791.07250,275.56850,901.23720,1821.09970,478.55330,39802888,3,128
IVF-OPQ,2000,16,8,8,256,1500,5,0.99005,0.96568,1077.58935,1117.40390,4791.07250,275.56850,901.23720,1628.94610,526.23260,39802888,3,128
