rerank_p,recall,latency_us,speedup_vs_baseline
100,0.70860,398.53,11.47
200,0.83360,665.06,6.87
500,0.94595,838.17,5.45
1000,0.98330,761.99,6.00
2000,0.99550,1640.21,2.79
5000,0.99965,3042.08,1.50
10000,0.99995,3344.43,1.37
50000,0.99995,13508.39,0.34
100000,0.99995,15893.12,0.29
